Card Name,Set Name,Normal Price (USD),Foil Price (USD)
Wall of Vines,Jumpstart,0.05,
Wall of Vipers,Prophecy,0.31,1.01
Wall of Water,Fourth Edition,0.16,
Wall of Wonder,Seventh Edition,0.36,
Wall of Wood,Tenth Edition,0.15,
Wallop,Invasion,0.21,1.20
Waltz of Rage,Duskmourn: House of Horror,0.21,0.26
Wanderbrine Rootcutters,Shadowmoor,0.05,0.49
Wanderer's Intervention,Kamigawa: Neon Dynasty,0.02,0.07
Wanderer's Strike,Commander Masters,0.04,0.09
Wanderer's Twig,Lorwyn,0.22,2.86
Wanderguard Sentry,Ninth Edition,0.07,
Wander in Death,Amonkhet,0.05,0.36
Wandering Archaic // Explore the Vastlands,Strixhaven: School of Mages,5.05,5.33
Wandering Champion,Ultimate Masters,0.01,0.10
Wandering Eye,Nemesis,0.12,1.29
Wandering Fumarole,Commander Legends: Battle for Baldur's Gate,0.20,
Wandering Goblins,Conflux,0.05,0.14
Wandering Graybeard,Morningtide,0.10,0.48
Wandering Mage,Masters Edition III,,
Wandering Mind,Innistrad: Crimson Vow,0.03,0.16
Wandering Ones,Champions of Kamigawa,0.13,0.63
Wandering Stream,Invasion,0.18,1.69
Wandering Tombshell,Dragons of Tarkir,0.03,0.37
Wandering Troubadour,Adventures in the Forgotten Realms,0.04,0.17
Wandering Wolf,Battlebond,0.13,0.64
Wanderlight Spirit,Innistrad: Crimson Vow,0.02,0.04
Wanderlust,Masters Edition,,
Wandermare,Throne of Eldraine,0.04,0.27
Wandertale Mentor,Bloomburrow,0.08,0.15
Wanderwine Hub,Lorwyn,1.95,13.51
Wanderwine Prophets,Lorwyn,15.67,55.49
Wand of Denial,Classic Sixth Edition,0.67,
Wand of Ith,The Dark,1.51,
Wand of Orcus,Forgotten Realms Commander,10.21,
Wand of the Elements,Darksteel,0.19,1.38
Wand of the Worldsoul,March of the Machine Commander,1.09,
Wand of Vertebrae,Guilds of Ravnica,0.10,0.69
Wand of Wonder,Commander Legends: Battle for Baldur's Gate,0.74,0.68
Waning Wurm,Planar Chaos,0.20,0.55
Wanted Griffin,Outlaws of Thunder Junction,0.03,0.03
Wanted Scoundrels,Ixalan,0.07,0.34
War Barge,Time Spiral Timeshifted,0.24,0.78
Warbeast of Gorgoroth,The Lord of the Rings: Tales of Middle-earth,0.02,0.10
War Behemoth,Khans of Tarkir,0.02,0.13
Warbreak Trumpeter,Legions,0.26,1.89
Warbriar Blessing,Theros Beyond Death,0.04,0.12
Warbringer,Dragons of Tarkir,0.11,0.22
War Cadence,Commander 2013,0.63,
Warchanter of Mogis,Born of the Gods,0.06,0.11
Warchanter Skald,Kaldheim,0.04,
War Chariot,Ice Age,0.28,
Warchief Giant,Commander Anthology Volume II,0.70,
Warclamp Mastiff,Magic 2013,0.08,0.44
Warcry Phoenix,Dominaria,0.05,0.45
War Dance,Urza's Saga,0.24,
Warded Battlements,Core Set 2021,0.02,0.10
Warden of Evos Isle,Commander Legends,0.07,0.16
Warden of Geometries,Oath of the Gatewatch,0.08,1.00
Warden of the Beyond,Magic 2015,0.13,0.03
Warden of the Chained,Theros Beyond Death,0.04,0.19
Warden of the Eye,Khans of Tarkir,0.10,0.58
Warden of the First Tree,Fate Reforged,0.26,0.57
Warden of the Inner Sky,The Lost Caverns of Ixalan,0.82,1.23
Warden of the Wall,Dark Ascension,0.09,0.25
Warden of the Woods,Core Set 2021,0.05,0.21
Wardens of the Cycle,Foundations,0.08,0.19
Ward of Bones,Eventide,16.19,49.16
Ward of Lights,Mirage,0.16,
Ward of Piety,Betrayers of Kamigawa,0.13,0.43
Wardscale Crocodile,War of the Spark,0.05,0.22
Wardscale Dragon,Fate Reforged,0.20,0.65
Ward Sliver,Legions,1.07,13.63
Warehouse Tabby,Wilds of Eldraine,0.06,0.13
Warehouse Thief,Commander Legends: Battle for Baldur's Gate,0.03,0.03
War Elemental,Mirrodin,6.31,12.75
War Elephant,Chronicles,0.11,
War Falcon,Magic 2013,0.09,0.27
Warfire Javelineer,Jumpstart,0.07,
War Flare,Fate Reforged,0.02,0.34
Wargate,Alara Reborn,2.32,28.16
Warg Rider,The Lord of the Rings: Tales of Middle-earth,0.84,
War Historian,March of the Machine,0.01,0.04
War Horn,Magic Origins,0.09,0.33
Warhorn Blast,Kaldheim,0.01,0.05
Warhost's Frenzy,Dominaria United,0.03,0.15
Warkite Marauder,The Lost Caverns of Ixalan Commander,0.09,
Warleader's Call,Murders at Karlov Manor,5.36,6.27
Warleader's Helix,Ultimate Masters,0.14,0.26
Warlock Class,Adventures in the Forgotten Realms,0.15,0.31
Warlord's Axe,Magic 2011,0.09,
Warlord's Elite,The Brothers' War,0.03,0.03
Warlord's Fury,Dominaria,0.10,1.43
War Mammoth,Masters Edition IV,,
Warmind Infantry,Gatecrash,0.04,
Warmonger,Mercadian Masques,0.25,7.68
Warmonger Hellkite,Commander Legends: Battle for Baldur's Gate,0.23,
Warmonger's Chariot,Jumpstart,0.09,
Warmth,Classic Sixth Edition,0.21,
Warm Welcome,Streets of New Capenna,0.03,0.02
War-Name Aspirant,Khans of Tarkir,0.04,
Warning,Masters Edition II,,
War of the Last Alliance,The Lord of the Rings: Tales of Middle-earth,0.76,0.84
War Oracle,Magic Origins,0.03,0.24
Warp Artifact,Masters Edition IV,,
Warpath,Mercadian Masques,0.12,0.79
Warpath Ghoul,Magic 2012,0.02,0.22
Warped Devotion,Eighth Edition,0.23,
Warped Landscape,Commander 2018,0.29,
Warped Physique,Dragon's Maze,0.05,0.29
Warped Researcher,Legions,0.16,0.34
Warped Tusker,Modern Horizons 3,0.02,0.04
Warping Wail,Commander Masters,0.26,
Warping Wurm,Mirage,0.53,
War Priest of Thune,Eternal Masters,0.14,0.52
Warp World,Magic 2010,0.87,5.40
Warrant // Warden,Ravnica Remastered,0.07,0.07
Warren Elder,Bloomburrow,0.02,0.03
Warren Instigator,Duel Decks: Merfolk vs. Goblins,,8.73
Warren Pilferers,Modern Masters,0.09,0.55
Warren-Scourge Elf,Lorwyn,0.10,0.10
Warren Soultrader,Modern Horizons 3,7.12,6.70
Warren Warleader,Bloomburrow,3.34,3.60
Warren Weirding,Modern Masters,0.08,0.33
War Report,New Phyrexia,0.13,0.45
Warrior Angel,Stronghold,0.46,
Warrior en-Kor,Tempest Remastered,,
Warrior's Charge,Portal,0.24,
Warrior's Honor,Tenth Edition,0.12,0.33
Warriors' Lesson,Theros,0.08,0.51
Warrior's Oath,Double Masters 2022,5.38,8.94
Warrior's Stand,Portal Three Kingdoms,10.61,
War Room,Murders at Karlov Manor Commander,2.25,
War Screecher,Ravnica: Clue Edition,0.07,
War-Spike Changeling,Modern Masters,0.11,0.62
War Squeak,Bloomburrow,0.03,0.02
War's Toll,Battlebond,4.88,7.13
Warstorm Surge,Commander Legends: Battle for Baldur's Gate,1.47,
War Tax,Mercadian Masques,0.72,26.97
Warteye Witch,Modern Horizons,0.02,0.32
Warthog,Classic Sixth Edition,0.19,
War-Torch Goblin,Ravnica: City of Guilds,0.06,0.26
War-Trained Slasher,March of the Machine,0.04,0.04
War-Wing Siren,Journey into Nyx,0.04,0.20
Wary Okapi,Guilds of Ravnica,0.03,0.10
Wary Thespian,Foundations,0.03,0.02
Wary Watchdog,Duskmourn: House of Horror,0.02,0.05
Wash Away,Innistrad: Crimson Vow,0.49,0.69
Wash Out,Double Masters 2022,0.25,0.62
"Wasitora, Nekoru Queen",Double Masters 2022,0.50,0.60
Wasp Lancer,Shadowmoor,0.15,0.52
Wasp of the Bitter End,Hour of Devastation,0.22,
Waste Away,Torment,0.10,0.54
Wasteful Harvest,The Brothers' War,0.06,0.06
Wasteland,Eternal Masters,23.15,26.32
Wasteland Raider,Fallout,0.16,0.50
Wasteland Scorpion,Amonkhet,0.06,0.19
Wasteland Strangler,Battle for Zendikar,0.21,1.75
Wasteland Viper,Ravnica Remastered,0.20,0.20
Waste Management,New Capenna Commander,0.14,
Waste Not,Commander 2016,2.54,
Wastes,Commander Masters,0.66,
Wastescape Battlemage,Modern Horizons 3,0.10,0.23
Watchdog,Tempest,0.16,
Watcher for Tomorrow,Modern Horizons,0.21,4.60
Watcher in the Mist,Ravnica: Clue Edition,0.08,
Watcher in the Web,Shadows over Innistrad,0.11,3.05
Watcher of Hours,Murders at Karlov Manor Commander,0.08,
Watcher of the Roost,Khans of Tarkir,0.04,0.20
Watcher of the Spheres,Core Set 2021,0.24,0.92
Watcher Sliver,Time Spiral Remastered,0.12,0.36
Watchers of the Dead,Amonkhet,0.07,0.55
Watchful Automaton,Aether Revolt,0.02,
Watchful Blisterzoa,Phyrexia: All Will Be One,0.01,0.06
Watchful Giant,Ravnica Allegiance,0.03,
Watchful Naga,Amonkhet,0.07,0.30
Watchful Radstag,Fallout,0.70,1.88
Watchwing Scarecrow,Shadowmoor,0.24,2.45
Watchwolf,Masters 25,0.18,0.35
Watercourser,Battlebond,0.02,0.14
Water Elemental,Masters Edition IV,,
Waterfall Aerialist,Strixhaven: School of Mages,0.04,0.02
Waterfront Bouncer,Vintage Masters,,
Waterfront District,Streets of New Capenna,0.06,0.13
Waterkin Shaman,Core Set 2020,0.09,
Waterknot,Jumpstart,0.06,
Waterlogged Grove,Modern Horizons,1.35,7.65
Waterlogged Hulk // Watertight Gondola,The Lost Caverns of Ixalan,0.02,0.06
Waterlogged Teachings // Inundated Archive,Modern Horizons 3,0.45,4.13
Water Servant,Modern Masters 2015,0.01,0.18
Waterspout Djinn,Duel Decks Anthology: Jace vs. Chandra,,
Waterspout Elemental,Planeshift,0.28,3.07
Waterspout Warden,Bloomburrow,0.02,0.04
Waterspout Weavers,Morningtide,0.21,0.52
Watertrap Weaver,Ixalan,0.05,0.37
Waterveil Cavern,Champions of Kamigawa,0.22,1.05
Waterwhirl,Khans of Tarkir,0.04,0.22
Waterwind Scout,The Lost Caverns of Ixalan,0.03,0.03
Water Wings,Wilds of Eldraine,0.04,0.07
Water Wurm,The Dark,0.19,
Watery Grave,Ravnica Remastered,14.22,15.75
Wavebreak Hippocamp,Theros Beyond Death,0.55,1.16
Wavecrash Triton,Theros,0.07,
Wave Elemental,Mirage,0.19,
Wave Goodbye,The Lost Caverns of Ixalan Commander,5.59,
Wave of Indifference,Onslaught,0.16,0.93
Wave of Rats,New Capenna Commander,1.94,
Wave of Reckoning,Commander 2016,3.87,
Wave of Terror,Weatherlight,0.78,
Wave of Vitriol,Commander Anthology,1.39,
Wavesifter,Murders at Karlov Manor Commander,0.04,
Waveskimmer Aven,Shards of Alara,0.11,0.29
Waves of Aggression,Eventide,14.55,64.34
Wave-Wing Elemental,Battle for Zendikar,0.04,0.26
Waxing Moon,Eldritch Moon,0.11,2.34
Waxmane Baku,Modern Masters 2015,0.03,0.25
Wax // Wane,Dominaria Remastered,0.05,0.05
Wax-Wane Witness,Bloomburrow,0.02,0.04
Wayfarer's Bauble,The Lost Caverns of Ixalan Commander,0.23,
Wayfaring Giant,Invasion,0.12,0.32
Wayfaring Temple,Commander 2019,0.12,
Waylay,Urza's Saga,0.29,
Waylaying Pirates,The Lost Caverns of Ixalan,0.03,0.04
Way of the Thief,Gatecrash,0.07,0.28
"Wayta, Trainer Prodigy",The Lost Caverns of Ixalan Commander,0.33,0.26
Wayward Angel,Odyssey,0.69,22.99
Wayward Giant,Kaladesh,0.02,0.75
Wayward Guide-Beast,Zendikar Rising,0.09,0.15
Wayward Servant,Amonkhet,0.26,2.18
Wayward Soul,Tempest Remastered,,
Wayward Swordtooth,The Lost Caverns of Ixalan Commander,3.49,
Weakness,Masters Edition IV,,
Weakstone,Masters Edition IV,,
Weakstone's Subjugation,The Brothers' War,0.04,0.05
Weaponcraft Enthusiast,Kaladesh,0.10,1.93
Weaponize the Monsters,Ikoria: Lair of Behemoths,0.07,0.15
Weapon Rack,Throne of Eldraine,0.05,0.10
Weapons Trainer,Double Masters,0.03,0.13
Weapon Surge,Double Masters,0.02,0.08
Wear Away,Champions of Kamigawa,0.15,1.70
Wear Down,Bloomburrow,0.21,0.25
Wear // Tear,March of the Machine Commander,0.56,
Weary Prisoner // Wrathful Jailbreaker,Innistrad: Crimson Vow,0.03,0.06
Weaselback Redcap,Throne of Eldraine,0.05,0.09
Weathered Bodyguards,Time Spiral,0.26,1.09
Weathered Runestone,Kaldheim,0.23,0.56
Weathered Sentinels,New Capenna Commander,5.77,
Weathered Wayfarer,Double Masters 2022,1.03,1.32
Weatherlight,Neon Dynasty Commander,0.58,
Weatherlight Compleated,Dominaria United,0.68,0.89
Weatherseed Elf,Urza's Legacy,0.25,3.60
Weatherseed Faeries,Urza's Legacy,0.15,2.41
Weatherseed Totem,Time Spiral,0.17,0.75
Weatherseed Treefolk,Urza's Legacy,1.74,39.49
Weather the Storm,Modern Horizons,0.51,1.26
Weave Fate,Magic Origins,0.02,
Weaver of Blossoms // Blossom-Clad Werewolf,Innistrad: Crimson Vow,0.06,0.15
Weaver of Currents,Amonkhet,0.08,0.54
Weaver of Harmony,Kamigawa: Neon Dynasty,1.44,1.95
Weaver of Lies,Legions,0.46,9.99
Weaver of Lightning,Jumpstart,0.09,
Web,Ninth Edition,0.19,
Web of Inertia,Judgment,0.78,10.54
Webspinner Cuff,Kamigawa: Neon Dynasty,0.08,0.21
Webweaver Changeling,Double Masters 2022,0.06,0.11
Wedding Announcement // Wedding Festivity,Innistrad: Crimson Vow,1.64,2.25
Wedding Invitation,Innistrad: Crimson Vow,0.10,0.21
Wedding Ring,Crimson Vow Commander,6.29,
Wedding Security,Innistrad: Crimson Vow,0.04,0.07
Wee Champion,Unfinity,0.02,0.08
Weed-Pruner Poplar,Morningtide,0.16,0.48
Wee Dragonauts,Guilds of Ravnica,0.03,0.33
Weed Strangle,Lorwyn,0.13,0.37
Weeping Angel,Doctor Who,0.15,1.20
Wei Ambush Force,Portal Three Kingdoms,0.66,
Wei Assassins,Portal Three Kingdoms,11.40,
Wei Elite Companions,Masters Edition III,,
Weigh Down,Kaldheim,0.03,0.04
Weight of Conscience,Morningtide,0.10,0.45
Weight of Memory,Dominaria,0.04,0.26
Weight of Spires,Dissension,0.16,0.84
Weight of the Underworld,Magic Origins,0.03,0.21
Wei Infantry,Masters Edition III,,
Wei Night Raiders,Masters Edition III,,
Weird Angel Flame,Unfinity Sticker Sheets,0.12,
Weirded Vampire,Eldritch Moon,0.06,2.28
Weird Harvest,Ninth Edition,1.60,
Weirding Shaman,Morningtide,0.44,4.35
Weirding Wood,March of the Machine Commander,0.10,
Wei Scout,Portal Three Kingdoms,4.54,
Wei Strike Force,Masters Edition III,,
Welcome to . . . // Jurassic Park,Jurassic World Collection,11.89,15.99
Welcome to Sweettooth,Wilds of Eldraine,0.08,0.14
Welcome to the Fold,Shadows over Innistrad,0.12,0.37
Welcoming Vampire,Murders at Karlov Manor Commander,2.13,
Welder Automaton,Game Night,,
Weldfast Engineer,Aether Revolt,0.03,0.10
Weldfast Monitor,Kaladesh,0.05,0.28
Weldfast Wingsmith,Kaladesh,0.02,0.21
Welding Jar,Double Masters,1.01,0.89
Welding Sparks,Commander Legends,0.06,0.04
Welkin Guide,Eternal Masters,0.03,0.02
Welkin Hawk,Exodus,0.22,
Welkin Tern,Global Series Jiang Yanggu & Mu Yanling,0.12,
Wellgabber Apothecary,Lorwyn,0.09,0.27
Well-Laid Plans,Invasion,0.33,4.79
Well of Discovery,Prophecy,0.36,4.88
Well of Ideas,Double Masters,2.98,1.80
Well of Knowledge,Weatherlight,2.71,
Well of Life,Prophecy,0.17,0.59
Well of Lost Dreams,Commander 2021,2.96,
Well Rested,Fallout,6.43,7.85
Wellspring,Mirage,1.39,
Wellwisher,Commander Anthology,1.65,
Werebear,Dominaria Remastered,0.09,0.13
Werefox Bodyguard,Wilds of Eldraine,0.35,0.31
Werewolf Lightning Mage,Unfinity Sticker Sheets,0.15,
Werewolf Pack Leader,Adventures in the Forgotten Realms,0.62,0.92
We Ride at Dawn,Outlaws of Thunder Junction Commander,0.16,
"Wernog, Rider's Chaplain",Universes Within,0.54,
Western Paladin,Eighth Edition,0.38,
Westfold Rider,The Lord of the Rings: Tales of Middle-earth,0.04,0.14
Westgate Regent,Adventures in the Forgotten Realms,0.16,0.32
"Westvale Abbey // Ormendahl, Profane Prince",Shadows over Innistrad,5.48,11.11
Wetland Sambar,Khans of Tarkir,0.04,0.15
Whack,Streets of New Capenna,0.04,0.05
Whalebone Glider,Ice Age,0.18,
Wharf Infiltrator,Commander Legends: Battle for Baldur's Gate,0.24,
What Must Be Done,Assassin's Creed,0.22,0.19
Wheel and Deal,Onslaught,10.10,29.05
Wheel of Fate,Time Spiral Remastered,2.12,6.25
Wheel of Fortune,Vintage Masters,,
Wheel of Misfortune,Commander Legends,4.45,4.37
Wheel of Potential,Modern Horizons 3,0.13,0.17
Wheel of Sun and Moon,Shadowmoor,1.89,25.71
Wheel of Torture,Urza's Legacy,1.18,9.03
Whelming Wave,Commander Legends,2.63,
When We Were Young,Kamigawa: Neon Dynasty,0.02,0.04
Where Ancients Tread,Commander 2013,0.54,
Whetstone,Urza's Saga,0.65,
Whetwheel,Future Sight,0.49,4.33
Whim of Volrath,Tempest,6.21,
Whims of the Fates,Commander 2016,0.35,
Whimwader,Shadowmoor,0.05,
Whipcorder,Onslaught,0.29,2.87
Whipflare,Commander Anthology Volume II,0.20,
Whipgrass Entangler,Legions,0.13,0.57
Whipkeeper,Odyssey,0.20,0.79
Whiplash Trap,Commander 2020,0.05,
Whip of Erebos,Duskmourn: House of Horror Commander,5.33,
Whippoorwill,The Dark,1.37,
Whip Sergeant,Ninth Edition,0.11,
Whip Silk,Invasion,1.30,36.91
Whip-Spine Drake,Time Spiral Remastered,0.05,
Whipstitched Zombie,Prophecy,0.19,0.42
Whiptail Moloch,Dissension,0.06,0.30
Whiptail Wurm,Masters Edition IV,,
Whiptongue Frog,Exodus,0.26,
Whiptongue Hydra,Neon Dynasty Commander,0.38,
Whip Vine,Alliances,0.13,
Whirlermaker,Kaladesh,0.09,0.35
Whirler Rogue,Outlaws of Thunder Junction Commander,0.05,
Whirler Virtuoso,Kaladesh,0.09,0.77
Whirling Catapult,Masters Edition II,,
Whirling Dervish,Time Spiral Timeshifted,0.28,0.94
Whirling Strike,The Brothers' War,0.05,0.08
Whirlpool Drake,Apocalypse,0.35,7.19
Whirlpool Rider,Apocalypse,0.30,5.89
Whirlpool Warrior,Planechase Anthology,1.38,
Whirlpool Whelm,Commander 2011,0.14,
Whirlwind,Commander Anthology,0.68,
Whirlwind Adept,Ultimate Masters,0.05,0.08
Whirlwind Denial,Theros Beyond Death,0.07,0.25
Whirlwind of Thought,March of the Machine Commander,0.75,
Whir of Invention,Aether Revolt,7.05,12.03
Whisk Away,Fate Reforged,0.04,0.15
Whiskerquill Scribe,Bloomburrow,0.02,0.02
Whiskervale Forerunner,Bloomburrow,0.19,0.20
Whisper Agent,Ravnica: Clue Edition,0.09,
"Whisper, Blood Liturgist",Commander Masters,0.19,0.19
Whisperer of the Wilds,Double Masters,0.13,0.19
Whispergear Sneak,Conspiracy,0.07,0.37
Whispering Madness,Commander 2016,1.23,
Whispering Shade,Odyssey,0.06,0.44
Whispering Snitch,Murders at Karlov Manor Commander,0.04,
Whispering Specter,New Phyrexia,0.81,5.45
Whispering Wizard,Innistrad: Crimson Vow,0.03,0.14
Whisper of the Dross,Phyrexia: All Will Be One,0.10,1.33
Whispersilk Cloak,Duskmourn: House of Horror Commander,1.67,
Whispers of Emrakul,Eldritch Moon,0.08,0.86
Whispers of the Muse,Tempest Remastered,,
Whisper Squad,Ikoria: Lair of Behemoths,0.05,0.09
Whispersteel Dagger,Zendikar Rising Commander,0.10,
Whisperwood Elemental,Duskmourn: House of Horror Commander,0.17,
White Dragon,Adventures in the Forgotten Realms,0.10,0.13
White Glove Gourmand,Fallout,0.09,0.40
White Knight,Duel Decks: Knights vs. Dragons,0.18,
White Mana Battery,Fourth Edition,0.33,
Whitemane Lion,Dominaria Remastered,0.08,0.17
White Orchid Phantom,Modern Horizons 3,0.84,1.10
Whiteout,Masters Edition II,,
White Plume Adventurer,Commander Legends: Battle for Baldur's Gate,1.03,1.26
White Scarab,Ice Age,0.23,
White Shield Crusader,Coldsnap,0.25,1.59
Whitesun's Passage,Scars of Mirrodin,0.06,0.23
White Sun's Twilight,Phyrexia: All Will Be One,1.19,4.81
White Sun's Zenith,Commander Legends,0.23,
White Ward,Fourth Edition,0.12,
Whitewater Naiads,Commander 2018,0.14,
"Wibbly-wobbly, Timey-wimey",Doctor Who,0.14,3.23
Wicked Akuba,Champions of Kamigawa,0.11,0.40
Wicked Guardian,Throne of Eldraine,0.03,0.05
Wicked Pact,Masters Edition IV,,
Wicked Reward,Visions,0.09,
Wicked Slumber,March of the Machine,0.04,0.08
Wicked Visitor,Wilds of Eldraine,0.02,0.06
Wicked Wolf,Throne of Eldraine,0.27,0.44
Wickerbough Elder,New Capenna Commander,0.06,
Wickerfolk Thresher,Duskmourn: House of Horror,0.04,0.07
Wicker Picker,Unfinity,0.06,0.12
Wicker Warcrawler,Shadowmoor,0.32,1.15
Wicker Witch,Shadows over Innistrad,0.05,0.26
Wick's Patrol,Bloomburrow,0.05,0.06
"Wick, the Whorled Mind",Bloomburrow,0.20,0.18
Widespread Brutality,War of the Spark,0.54,1.77
Widespread Panic,Commander 2013,0.26,
Widespread Thieving,Streets of New Capenna,0.12,0.13
Wielding the Green Dragon,Portal Three Kingdoms,5.07,
Wight,Adventures in the Forgotten Realms,0.12,0.23
Wight of Precinct Six,Jumpstart,0.13,
Wight of the Reliquary,Modern Horizons 3,2.00,2.11
Wiitigo,Masters Edition II,,
Wild Aesthir,Masters Edition IV,,
Wild Beastmaster,Midnight Hunt Commander,0.12,
Wildborn Preserver,Foundations,0.24,
Wildcall,Fate Reforged,0.14,0.35
Wild Cantor,Ravnica Remastered,0.10,0.14
Wild Celebrants,Commander Legends,0.01,0.02
Wild Ceratok,Guilds of Ravnica,0.06,0.24
Wild Colos,Urza's Destiny,0.12,0.84
Wild Defiance,Avacyn Restored,0.63,2.27
Wild Dogs,Dominaria Remastered,0.04,0.12
Wild Elephant,Mirage,0.11,
Wild Endeavor,Forgotten Realms Commander,0.13,
Wilderness Elemental,Commander 2016,0.26,
Wilderness Hypnotist,Eventide,0.11,0.22
Wilderness Reclamation,Duskmourn: House of Horror Commander,0.49,
Wildest Dreams,Kaladesh,0.28,1.03
Wild Evocation,Magic 2011,2.01,3.61
Wildfield Borderpost,Alara Reborn,0.18,0.44
Wild-Field Scarecrow,Shadows over Innistrad,0.17,1.30
Wildfire,Modern Masters 2015,0.54,2.07
Wildfire Awakener,March of the Machine Commander,1.28,
Wildfire Cerberus,Journey into Nyx,0.06,0.33
Wildfire Devils,Commander 2021,0.22,
Wildfire Elemental,Core Set 2020,0.20,
Wildfire Emissary,Eternal Masters,0.02,0.10
Wildfire Eternal,Hour of Devastation,0.22,0.40
Wildfire Howl,Bloomburrow,0.07,0.08
Wildfire Wickerfolk,Duskmourn: House of Horror,0.05,0.11
Wild Griffin,Conspiracy: Take the Crown,0.09,
Wild Growth,Murders at Karlov Manor Commander,0.25,
Wildgrowth Walker,Ixalan,0.38,8.90
Wild Guess,Magic 2014,0.09,3.33
Wildheart Invoker,Foundations,0.31,
Wild Hunger,Ultimate Masters,0.14,0.10
Wild Instincts,Magic Origins,0.05,0.26
Wild Jhovall,Mercadian Masques,0.11,0.53
Wild Leotau,Conflux,0.04,0.25
Wild-Magic Sorcerer,Commander Legends: Battle for Baldur's Gate,6.07,
Wild Magic Surge,Commander Legends: Battle for Baldur's Gate,0.30,0.41
Wild Mammoth,Nemesis,0.08,0.66
Wild Might,Prophecy,0.16,0.97
Wild Mongrel,Ultimate Masters,0.09,0.78
Wild Nacatl,Duel Decks: Ajani vs. Nicol Bolas,1.17,
Wild Ogre Bupkis,Unfinity Sticker Sheets,0.15,
Wild Onslaught,Dominaria,0.05,0.35
Wild Ox,Masters Edition IV,,
Wild Pair,Conspiracy: Take the Crown,1.53,4.11
Wild Research,Apocalypse,0.84,17.83
Wild Ricochet,Commander Legends,0.33,
"Wildsear, Scouring Maw",Bloomburrow Commander,,4.54
Wild Shape,Adventures in the Forgotten Realms,0.06,0.16
Wildsize,Ravnica: Clue Edition,0.11,
Wild Slash,Fate Reforged,0.15,1.20
Wildslayer Elves,Shadowmoor,0.13,
Wild Swing,Shadowmoor,0.20,0.32
Wild Wanderer,Kaladesh,0.04,0.40
Wild Wasteland,Fallout,0.53,2.59
Wildwood Escort,March of the Machine,0.02,0.05
Wildwood Geist,Avacyn Restored,0.02,0.36
Wildwood Mentor,Wilds of Eldraine,0.21,0.96
Wildwood Patrol,Ravnica: Clue Edition,0.08,
Wildwood Rebirth,Gatecrash,0.07,0.27
Wildwood Scourge,Foundations,0.07,0.23
Wildwood Tracker,Throne of Eldraine,0.04,0.06
Wild Wurm,Tempest,0.17,
Wilfred Mott,Doctor Who,0.12,0.33
"Wilhelt, the Rotcleaver",Midnight Hunt Commander,5.23,6.39
Willbender,Commander 2019,0.15,
Willbreaker,Magic Origins,1.90,5.71
Will-Forged Golem,Magic 2015,0.07,0.34
Will Kenrith,Commander Legends: Battle for Baldur's Gate,0.71,
Will of the All-Hunter,Ikoria: Lair of Behemoths,0.02,0.21
Will of the Naga,Fate Reforged,0.04,0.25
Will-o'-the-Wisp,Masters 25,0.16,0.59
Willow Dryad,Portal,0.28,
"Willowdusk, Essence Seer",Commander 2021,,0.26
Willow Elf,Starter 2000,0.20,
Willow Faerie,Homelands,0.15,
Willow Geist,Innistrad: Midnight Hunt,0.22,0.28
Willow Priestess,Masters Edition III,,
Willow Satyr,Masters Edition III,,
Willow-Wind,The Lord of the Rings: Tales of Middle-earth,0.02,0.08
"Will, Scion of Peace",Wilds of Eldraine,0.32,0.55
"Wilson, Refined Grizzly",Commander Legends: Battle for Baldur's Gate,0.13,0.24
Wilt,Ikoria: Lair of Behemoths,0.14,0.21
Wilt-Leaf Cavaliers,Duel Decks: Knights vs. Dragons,0.22,
Wilt-Leaf Liege,Foundations,0.27,
Wily Bandar,Kaladesh,0.04,0.36
Wily Goblin,Ixalan,0.40,0.91
Windborne Charge,Conspiracy: Take the Crown,0.02,
Windborn Muse,Murders at Karlov Manor Commander,0.15,
Windbrisk Heights,The Lost Caverns of Ixalan Commander,0.18,
Windbrisk Raptor,Shadowmoor,3.22,6.63
Windcaller Aven,Commander Masters,0.03,0.13
Wind Dancer,Tempest Remastered,,
Wind Drake,Kaladesh,0.08,0.05
Windfall,Outlaws of Thunder Junction Commander,2.73,
Windgrace Acolyte,Dominaria,0.04,0.10
Windgrace's Judgment,New Capenna Commander,0.20,
Winding Canyons,Weatherlight,26.80,
Winding Constrictor,Aether Revolt,0.25,1.27
Winding Way,Outlaws of Thunder Junction Commander,0.21,
Winding Wurm,Urza's Saga,0.20,
Wind-Kin Raiders,Aether Revolt,0.02,0.11
Windreader Sphinx,Jumpstart,0.24,
Windreaper Falcon,Mirage,0.17,
Windreaver,Duel Decks: Venser vs. Koth,0.10,
Windrider Eel,Archenemy: Nicol Bolas,0.10,
Windrider Patrol,Battle for Zendikar,0.04,0.26
Windrider Wizard,Commander Masters,0.06,0.06
Wind Sail,Starter 1999,0.33,
Wind-Scarred Crag,Foundations,0.05,0.04
Windscouter,Prophecy,0.17,
Windseeker Centaur,Magic Online Promos,,
Windshaper Planetar,Commander Legends: Battle for Baldur's Gate,0.17,0.13
Wind Shear,Visions,0.16,
Winds of Abandon,Modern Horizons,3.74,16.82
Winds of Change,Masters Edition,,
Winds of Qal Sisma,Fate Reforged,0.27,1.29
Winds of Rath,Murders at Karlov Manor Commander,0.16,
Winds of Rebuke,Amonkhet,0.15,3.89
Wind Spirit,Masters Edition II,,
